player,league,nationality
SW Ambris,CPL,WI
M Matthew,CPL,WI
D Mohammed,IPL,IND
A Martin,CPL,WI
LJA Julien,CPL,WI
M Clarke,CPL,WI
KA Hope,CPL,WI
KA Anderson,CPL,WI
JA Clarkson,Overseas,NZ
AWJ Auguste,CPL,WI
N Deonarine,CPL,WI
JC Guillen,CPL,WI
NF Kelly,Overseas,NZ
LM Edward,CPL,WI
DC Green,CPL,WI
M Govia,CPL,WI
RO Cato,CPL,WI
KY Ottley,CPL,WI
Akeem Jordan,CPL,WI
SA Lewis,CPL,WI
GC Tonge,CPL,WI
ROO Jordan,CPL,WI
JA Warrican,CPL,WI
K Campbell,T20 Blast/Hundred,ENG
Hamza Tariq,Overseas,CAN
LS Lugg,CPL,WI
E Leie,SA20,SA
AMA Dewar,CPL,WI
AP Richardson,CPL,WI
TK Patel,Overseas,USA/IND
I Khaleel,Overseas,USA/IND
J McAllister,CPL,WI
K Magram,CPL,WI
M Nandu,CPL,WI
Younis Khan,PSL,PAK
PG Wintz,CPL,WI
