player,league,nationality
V Viyaskanth,LPL,SL
Mrittunjoy Chowdhury,BPL,BAN
Mehedi Hasan Rana,BPL,BAN
Taijul Islam,BPL,BAN
Rony Talukdar,BPL,BAN
Shahriar Nafees,BPL,BAN
Mehedi Maruf,BPL,BAN
Al-Amin Hossain,BPL,BAN
Abdullah Al Mamun,BPL,BAN
Soumya Sarkar,BPL,BAN
Mohammad Mithun,BPL,BAN
Saqlain Sajib,BPL,BAN
Abu Jayed,BPL,BAN
Fazle Mahmud,BPL,BAN
Abu Hider,BPL,BAN
Nazmul Hossain Shanto,BPL,BAN
HT Tector,Overseas,IRE
Zakir Hasan,BPL,BAN
Shamsur Rahman,BPL,BAN
RP Burl,Overseas,ZIM
Ariful Haque,BPL,BAN
Nayeem Hasan,BPL,BAN
Rejaur Rahman,BPL,BAN
R Ngarava,Overseas,ZIM
Imrul Kayes,BPL,BAN
Mohammad Saifuddin,BPL,BAN
Liton Das,BPL,BAN
Alok Kapali,BPL,BAN
Taskin Ahmed,BPL,BAN
Nabil Samad,BPL,BAN
Tanzid Hasan,BPL,BAN
Munim Shahriar,BPL,BAN
JP Kotze,Overseas,NAM/SA
Mosaddek Hossain,BPL,BAN
Farmanullah,Overseas,AFG
PC de Silva,LPL,SL
Towhid Hridoy,BPL,BAN
R Mondol,BPL,BAN
Tanvir Islam,BPL,BAN
HG Kuhn,SA20,SA
Mohor Sheikh,BPL,BAN
Yasir Ali Chowdhury,T20 Blast/Hundred,ENG
R Frylinck,SA20,SA
Sunzamul Islam,BPL,BAN
Khaled Ahmed,BPL,BAN
MD Gunathilaka,LPL,SL
L Croospulle,LPL,SL
AI Ross,BBL,AUS
Irfan Sukkur,BPL,BAN
Alauddin Babu,BPL,BAN
BMAJ Mendis,LPL,SL
Nadif Chowdhury,BPL,BAN
Hasanuzzaman,BPL,BAN
Taibur Rahman,BPL,BAN
Shafiul Islam,BPL,BAN
Mosharraf Hossain,BPL,BAN
Junaid Siddique,Overseas,UAE
Farhad Reza,BPL,BAN
Sohag Gazi,BPL,BAN
Mashrafe Mortaza,BPL,BAN
P Mustard,T20 Blast/Hundred,ENG
MF Maharoof,LPL,SL
